index,Sex_,Pclass__1,Pclass__2,Pclass__3,Embarked__C,Embarked__Q,Embarked__S,FamilySize,Age_,Fare_
0,1,0,0,1,0,0,1,2,22.0,7.25
1,0,1,0,0,1,0,0,2,38.0,71.2833
2,0,0,0,1,0,0,1,1,26.0,7.925
3,0,1,0,0,0,0,1,2,35.0,53.1
4,1,0,0,1,0,0,1,1,35.0,8.05
5,1,0,0,1,0,1,0,1,29.69911764705882,8.4583
6,1,1,0,0,0,0,1,1,54.0,51.8625
7,1,0,0,1,0,0,1,5,2.0,21.075
8,0,0,0,1,0,0,1,3,27.0,11.1333
9,0,0,1,0,1,0,0,2,14.0,30.0708
10,0,0,0,1,0,0,1,3,4.0,16.7
11,0,1,0,0,0,0,1,1,58.0,26.55
12,1,0,0,1,0,0,1,1,20.0,8.05
13,1,0,0,1,0,0,1,7,39.0,31.275
14,0,0,0,1,0,0,1,1,14.0,7.8542
15,0,0,1,0,0,0,1,1,55.0,16.0
16,1,0,0,1,0,1,0,6,2.0,29.125
17,1,0,1,0,0,0,1,1,29.69911764705882,13.0
18,0,0,0,1,0,0,1,2,31.0,18.0
19,0,0,0,1,1,0,0,1,29.69911764705882,7.225
20,1,0,1,0,0,0,1,1,35.0,26.0
21,1,0,1,0,0,0,1,1,34.0,13.0
22,0,0,0,1,0,1,0,1,15.0,8.0292
23,1,1,0,0,0,0,1,1,28.0,35.5
24,0,0,0,1,0,0,1,5,8.0,21.075
25,0,0,0,1,0,0,1,7,38.0,31.3875
26,1,0,0,1,1,0,0,1,29.69911764705882,7.225
27,1,1,0,0,0,0,1,6,19.0,263.0
28,0,0,0,1,0,1,0,1,29.69911764705882,7.8792
29,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
30,1,1,0,0,1,0,0,1,40.0,27.7208
31,0,1,0,0,1,0,0,2,29.69911764705882,146.5208
32,0,0,0,1,0,1,0,1,29.69911764705882,7.75
33,1,0,1,0,0,0,1,1,66.0,10.5
34,1,1,0,0,1,0,0,2,28.0,82.1708
35,1,1,0,0,0,0,1,2,42.0,52.0
36,1,0,0,1,1,0,0,1,29.69911764705882,7.2292
37,1,0,0,1,0,0,1,1,21.0,8.05
38,0,0,0,1,0,0,1,3,18.0,18.0
39,0,0,0,1,1,0,0,2,14.0,11.2417
40,0,0,0,1,0,0,1,2,40.0,9.475
41,0,0,1,0,0,0,1,2,27.0,21.0
42,1,0,0,1,1,0,0,1,29.69911764705882,7.8958
43,0,0,1,0,1,0,0,4,3.0,41.5792
44,0,0,0,1,0,1,0,1,19.0,7.8792
45,1,0,0,1,0,0,1,1,29.69911764705882,8.05
46,1,0,0,1,0,1,0,2,29.69911764705882,15.5
47,0,0,0,1,0,1,0,1,29.69911764705882,7.75
48,1,0,0,1,1,0,0,3,29.69911764705882,21.6792
49,0,0,0,1,0,0,1,2,18.0,17.8
50,1,0,0,1,0,0,1,6,7.0,39.6875
51,1,0,0,1,0,0,1,1,21.0,7.8
52,0,1,0,0,1,0,0,2,49.0,76.7292
53,0,0,1,0,0,0,1,2,29.0,26.0
54,1,1,0,0,1,0,0,2,65.0,61.9792
55,1,1,0,0,0,0,1,1,29.69911764705882,35.5
56,0,0,1,0,0,0,1,1,21.0,10.5
57,1,0,0,1,1,0,0,1,28.5,7.2292
58,0,0,1,0,0,0,1,4,5.0,27.75
59,1,0,0,1,0,0,1,8,11.0,46.9
60,1,0,0,1,1,0,0,1,22.0,7.2292
61,0,1,0,0,0,0,0,1,38.0,80.0
62,1,1,0,0,0,0,1,2,45.0,83.475
63,1,0,0,1,0,0,1,6,4.0,27.9
64,1,1,0,0,1,0,0,1,29.69911764705882,27.7208
65,1,0,0,1,1,0,0,3,29.69911764705882,15.2458
66,0,0,1,0,0,0,1,1,29.0,10.5
67,1,0,0,1,0,0,1,1,19.0,8.1583
68,0,0,0,1,0,0,1,7,17.0,7.925
69,1,0,0,1,0,0,1,3,26.0,8.6625
70,1,0,1,0,0,0,1,1,32.0,10.5
71,0,0,0,1,0,0,1,8,16.0,46.9
72,1,0,1,0,0,0,1,1,21.0,73.5
73,1,0,0,1,1,0,0,2,26.0,14.4542
74,1,0,0,1,0,0,1,1,32.0,56.4958
75,1,0,0,1,0,0,1,1,25.0,7.65
76,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
77,1,0,0,1,0,0,1,1,29.69911764705882,8.05
78,1,0,1,0,0,0,1,3,0.83,29.0
79,0,0,0,1,0,0,1,1,30.0,12.475
80,1,0,0,1,0,0,1,1,22.0,9.0
81,1,0,0,1,0,0,1,1,29.0,9.5
82,0,0,0,1,0,1,0,1,29.69911764705882,7.7875
83,1,1,0,0,0,0,1,1,28.0,47.1
84,0,0,1,0,0,0,1,1,17.0,10.5
85,0,0,0,1,0,0,1,4,33.0,15.85
86,1,0,0,1,0,0,1,5,16.0,34.375
87,1,0,0,1,0,0,1,1,29.69911764705882,8.05
88,0,1,0,0,0,0,1,6,23.0,263.0
89,1,0,0,1,0,0,1,1,24.0,8.05
90,1,0,0,1,0,0,1,1,29.0,8.05
91,1,0,0,1,0,0,1,1,20.0,7.8542
92,1,1,0,0,0,0,1,2,46.0,61.175
93,1,0,0,1,0,0,1,4,26.0,20.575
94,1,0,0,1,0,0,1,1,59.0,7.25
95,1,0,0,1,0,0,1,1,29.69911764705882,8.05
96,1,1,0,0,1,0,0,1,71.0,34.6542
97,1,1,0,0,1,0,0,2,23.0,63.3583
98,0,0,1,0,0,0,1,2,34.0,23.0
99,1,0,1,0,0,0,1,2,34.0,26.0
100,0,0,0,1,0,0,1,1,28.0,7.8958
101,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
102,1,1,0,0,0,0,1,2,21.0,77.2875
103,1,0,0,1,0,0,1,1,33.0,8.6542
104,1,0,0,1,0,0,1,3,37.0,7.925
105,1,0,0,1,0,0,1,1,28.0,7.8958
106,0,0,0,1,0,0,1,1,21.0,7.65
107,1,0,0,1,0,0,1,1,29.69911764705882,7.775
108,1,0,0,1,0,0,1,1,38.0,7.8958
109,0,0,0,1,0,1,0,2,29.69911764705882,24.15
110,1,1,0,0,0,0,1,1,47.0,52.0
111,0,0,0,1,1,0,0,2,14.5,14.4542
112,1,0,0,1,0,0,1,1,22.0,8.05
113,0,0,0,1,0,0,1,2,20.0,9.825
114,0,0,0,1,1,0,0,1,17.0,14.4583
115,1,0,0,1,0,0,1,1,21.0,7.925
116,1,0,0,1,0,1,0,1,70.5,7.75
117,1,0,1,0,0,0,1,2,29.0,21.0
118,1,1,0,0,1,0,0,2,24.0,247.5208
119,0,0,0,1,0,0,1,7,2.0,31.275
120,1,0,1,0,0,0,1,3,21.0,73.5
121,1,0,0,1,0,0,1,1,29.69911764705882,8.05
122,1,0,1,0,1,0,0,2,32.5,30.0708
123,0,0,1,0,0,0,1,1,32.5,13.0
124,1,1,0,0,0,0,1,2,54.0,77.2875
125,1,0,0,1,1,0,0,2,12.0,11.2417
126,1,0,0,1,0,1,0,1,29.69911764705882,7.75
127,1,0,0,1,0,0,1,1,24.0,7.1417
128,0,0,0,1,1,0,0,3,29.69911764705882,22.3583
129,1,0,0,1,0,0,1,1,45.0,6.975
